Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Ullsfjord;SN91100;20.06.1958;10,5;0
Ullsfjord;SN91100;21.06.1958;1,5;0
Ullsfjord;SN91100;22.06.1958;0,1;0
Ullsfjord;SN91100;23.06.1958;0,1;0
Ullsfjord;SN91100;24.06.1958;0;0
Ullsfjord;SN91100;25.06.1958;0;0
Ullsfjord;SN91100;26.06.1958;0;0
Ullsfjord;SN91100;27.06.1958;0;0
Ullsfjord;SN91100;28.06.1958;0;0
Ullsfjord;SN91100;29.06.1958;0;0
Ullsfjord;SN91100;30.06.1958;0;0
Ullsfjord;SN91100;01.07.1958;0;0
Ullsfjord;SN91100;02.07.1958;1,9;0
Ullsfjord;SN91100;03.07.1958;1,9;0
Ullsfjord;SN91100;04.07.1958;1,2;0
Ullsfjord;SN91100;05.07.1958;0,8;0
Ullsfjord;SN91100;06.07.1958;0,4;0
Ullsfjord;SN91100;07.07.1958;2,2;0
