Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Lyfjord;SN90570;22.09.1980;1,5;0
Lyfjord;SN90570;23.09.1980;5,7;0
Lyfjord;SN90570;24.09.1980;0,8;0
Lyfjord;SN90570;25.09.1980;0,6;0
Lyfjord;SN90570;26.09.1980;0;0
Lyfjord;SN90570;27.09.1980;0;0
Lyfjord;SN90570;28.09.1980;0;0
Lyfjord;SN90570;29.09.1980;5,6;0
Lyfjord;SN90570;30.09.1980;0;0
Lyfjord;SN90570;01.10.1980;4,5;0
Lyfjord;SN90570;02.10.1980;1,5;0
Lyfjord;SN90570;03.10.1980;2,5;0
Lyfjord;SN90570;04.10.1980;1,6;0
Lyfjord;SN90570;05.10.1980;0,6;0
Lyfjord;SN90570;06.10.1980;0;0
Lyfjord;SN90570;07.10.1980;0;0
Lyfjord;SN90570;08.10.1980;0;0
Lyfjord;SN90570;09.10.1980;0;0
Lyfjord;SN90570;10.10.1980;2,4;0
Lyfjord;SN90570;11.10.1980;3,7;0
Lyfjord;SN90570;12.10.1980;0;0
Lyfjord;SN90570;13.10.1980;0;0
Lyfjord;SN90570;14.10.1980;0;0
Lyfjord;SN90570;15.10.1980;5;0
Lyfjord;SN90570;16.10.1980;5,3;8
Lyfjord;SN90570;17.10.1980;15,2;14
Lyfjord;SN90570;18.10.1980;7;14
Lyfjord;SN90570;19.10.1980;0;14
Lyfjord;SN90570;20.10.1980;0;12
Lyfjord;SN90570;21.10.1980;2,1;8
Lyfjord;SN90570;22.10.1980;5,9;15
Lyfjord;SN90570;23.10.1980;7,2;20
Lyfjord;SN90570;24.10.1980;2,3;21
Lyfjord;SN90570;25.10.1980;0,5;20
Lyfjord;SN90570;26.10.1980;8,5;29
Lyfjord;SN90570;27.10.1980;10,7;30
Lyfjord;SN90570;28.10.1980;2,2;31
Lyfjord;SN90570;29.10.1980;0;31
Lyfjord;SN90570;30.10.1980;9,5;41
Lyfjord;SN90570;31.10.1980;7;46
Lyfjord;SN90570;01.11.1980;0;18
Lyfjord;SN90570;02.11.1980;0;4
Lyfjord;SN90570;03.11.1980;2,9;0
Lyfjord;SN90570;04.11.1980;8;0
Lyfjord;SN90570;05.11.1980;2,4;0
Lyfjord;SN90570;06.11.1980;3;0
Lyfjord;SN90570;07.11.1980;14,2;3
Lyfjord;SN90570;08.11.1980;4,6;0
Lyfjord;SN90570;09.11.1980;2,7;3
Lyfjord;SN90570;10.11.1980;1,1;4
Lyfjord;SN90570;11.11.1980;0;4
Lyfjord;SN90570;12.11.1980;0;4
Lyfjord;SN90570;13.11.1980;0;4
Lyfjord;SN90570;14.11.1980;0;4
Lyfjord;SN90570;15.11.1980;0;4
