Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Kvalsund - Simavik;SN90610;28.07.1977;0,2;0
Kvalsund - Simavik;SN90610;29.07.1977;2,1;0
Kvalsund - Simavik;SN90610;30.07.1977;0;0
Kvalsund - Simavik;SN90610;31.07.1977;2,7;0
Kvalsund - Simavik;SN90610;01.08.1977;2,8;0
Kvalsund - Simavik;SN90610;02.08.1977;0;0
Kvalsund - Simavik;SN90610;03.08.1977;0;0
Kvalsund - Simavik;SN90610;04.08.1977;0,1;0
Kvalsund - Simavik;SN90610;05.08.1977;0;0
Kvalsund - Simavik;SN90610;06.08.1977;2,8;0
Kvalsund - Simavik;SN90610;07.08.1977;17,7;0
Kvalsund - Simavik;SN90610;08.08.1977;0;0
Kvalsund - Simavik;SN90610;09.08.1977;0;0
Kvalsund - Simavik;SN90610;10.08.1977;0;0
Kvalsund - Simavik;SN90610;11.08.1977;0;0
Kvalsund - Simavik;SN90610;12.08.1977;0,5;0
Kvalsund - Simavik;SN90610;13.08.1977;0;0
Kvalsund - Simavik;SN90610;14.08.1977;0;0
Kvalsund - Simavik;SN90610;15.08.1977;0;0
Kvalsund - Simavik;SN90610;16.08.1977;0,2;0
Kvalsund - Simavik;SN90610;17.08.1977;0,9;0
Kvalsund - Simavik;SN90610;18.08.1977;0;0
Kvalsund - Simavik;SN90610;19.08.1977;0,1;0
Kvalsund - Simavik;SN90610;20.08.1977;6,8;0
Kvalsund - Simavik;SN90610;21.08.1977;1,6;0
Kvalsund - Simavik;SN90610;22.08.1977;1,6;0
Kvalsund - Simavik;SN90610;23.08.1977;0;0
Kvalsund - Simavik;SN90610;24.08.1977;0,9;0
Kvalsund - Simavik;SN90610;25.08.1977;14,5;0
Kvalsund - Simavik;SN90610;26.08.1977;3,4;0
Kvalsund - Simavik;SN90610;27.08.1977;8,5;0
Kvalsund - Simavik;SN90610;28.08.1977;9,1;0
Kvalsund - Simavik;SN90610;29.08.1977;5,9;0
Kvalsund - Simavik;SN90610;30.08.1977;5,8;0
Kvalsund - Simavik;SN90610;31.08.1977;17;0
Kvalsund - Simavik;SN90610;01.09.1977;0,2;0
Kvalsund - Simavik;SN90610;02.09.1977;0,1;0
Kvalsund - Simavik;SN90610;03.09.1977;0,7;0
Kvalsund - Simavik;SN90610;04.09.1977;6,2;0
Kvalsund - Simavik;SN90610;05.09.1977;5;0
Kvalsund - Simavik;SN90610;06.09.1977;3,3;0
Kvalsund - Simavik;SN90610;07.09.1977;9,6;0
Kvalsund - Simavik;SN90610;08.09.1977;7,7;0
Kvalsund - Simavik;SN90610;09.09.1977;1,3;0
Kvalsund - Simavik;SN90610;10.09.1977;1,2;0
Kvalsund - Simavik;SN90610;11.09.1977;4,1;0
Kvalsund - Simavik;SN90610;12.09.1977;5,9;0
Kvalsund - Simavik;SN90610;13.09.1977;0,1;0
Kvalsund - Simavik;SN90610;14.09.1977;0;0
Kvalsund - Simavik;SN90610;15.09.1977;1,4;0
Kvalsund - Simavik;SN90610;16.09.1977;17,4;0
Kvalsund - Simavik;SN90610;17.09.1977;2,5;0
Kvalsund - Simavik;SN90610;18.09.1977;2,3;0
Kvalsund - Simavik;SN90610;19.09.1977;4,4;0
Kvalsund - Simavik;SN90610;20.09.1977;8,9;0
Kvalsund - Simavik;SN90610;21.09.1977;8,3;0
Kvalsund - Simavik;SN90610;22.09.1977;3,5;0
Kvalsund - Simavik;SN90610;23.09.1977;0,9;0
Kvalsund - Simavik;SN90610;24.09.1977;1,8;0
Kvalsund - Simavik;SN90610;25.09.1977;2;0
Kvalsund - Simavik;SN90610;26.09.1977;0,6;0
Kvalsund - Simavik;SN90610;27.09.1977;0;0
Kvalsund - Simavik;SN90610;28.09.1977;2;0
Kvalsund - Simavik;SN90610;29.09.1977;1,2;0
Kvalsund - Simavik;SN90610;30.09.1977;0;0
Kvalsund - Simavik;SN90610;01.10.1977;0;0
Kvalsund - Simavik;SN90610;02.10.1977;0;0
Kvalsund - Simavik;SN90610;03.10.1977;0;0
Kvalsund - Simavik;SN90610;04.10.1977;0;0
Kvalsund - Simavik;SN90610;05.10.1977;0;0
Kvalsund - Simavik;SN90610;06.10.1977;0;0
Kvalsund - Simavik;SN90610;07.10.1977;2,5;0
Kvalsund - Simavik;SN90610;08.10.1977;1,8;0
Kvalsund - Simavik;SN90610;09.10.1977;0;0
Kvalsund - Simavik;SN90610;10.10.1977;0,1;0
Kvalsund - Simavik;SN90610;11.10.1977;3,5;0
Kvalsund - Simavik;SN90610;12.10.1977;8,4;0
Kvalsund - Simavik;SN90610;13.10.1977;0;0
Kvalsund - Simavik;SN90610;14.10.1977;0;0
Kvalsund - Simavik;SN90610;15.10.1977;0;0
Kvalsund - Simavik;SN90610;16.10.1977;0,1;0
